time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:35:06.944288,23.97,100905.58,39.97,34.98,-0.31,-0.96,-9.70,0.09,-0.12,-0.09,118,2,2,2,5,-1
2021-05-17 15:35:07.423297,23.97,100904.18,39.99,35.10,-0.30,-0.97,-9.73,0.09,-0.12,-0.09,191,2,2,2,5,-1
2021-05-17 15:35:07.904115,23.96,100899.41,40.03,35.49,-0.30,-0.96,-9.71,0.09,-0.12,-0.09,110,2,2,2,5,-1
2021-05-17 15:35:08.383727,23.96,100898.74,40.02,35.55,-0.31,-0.95,-9.72,0.09,-0.12,-0.09,110,2,2,2,5,-1
2021-05-17 15:35:08.864154,23.97,100900.89,40.01,35.37,-0.29,-0.96,-9.72,0.09,-0.12,-0.09,103,2,2,2,5,-1
2021-05-17 15:35:09.344180,23.96,100902.48,40.05,35.24,-0.31,-0.96,-9.73,0.09,-0.12,-0.09,94,2,2,2,5,-1
2021-05-17 15:35:09.824195,23.96,100906.44,40.04,34.91,-0.31,-1.00,-9.73,0.09,-0.12,-0.09,106,2,2,2,5,-1
2021-05-17 15:35:10.304259,23.97,100905.25,40.07,35.01,-0.29,-0.94,-9.68,0.09,-0.12,-0.09,110,2,2,2,5,-1
2021-05-17 15:35:10.784157,23.96,100906.67,40.04,34.89,-0.31,-0.96,-9.73,0.09,-0.12,-0.09,94,2,2,2,5,-1
2021-05-17 15:35:11.264306,23.97,100905.52,40.09,34.98,-0.31,-0.97,-9.73,0.09,-0.12,-0.09,131,2,2,2,5,-1
2021-05-17 15:35:11.744135,23.97,100905.76,40.09,34.96,-0.30,-0.96,-9.74,0.09,-0.12,-0.09,119,2,2,2,5,-1
2021-05-17 15:35:12.224194,23.97,100907.77,40.12,34.80,-0.31,-0.96,-9.70,0.09,-0.12,-0.09,105,2,2,2,5,-1
2021-05-17 15:35:12.704146,23.96,100902.31,40.11,35.25,-0.30,-0.96,-9.73,0.09,-0.12,-0.09,124,2,2,2,5,-1
2021-05-17 15:35:13.184166,23.97,100903.25,40.08,35.17,-0.34,-0.96,-9.71,0.09,-0.12,-0.09,98,2,2,2,5,-1
2021-05-17 15:35:13.664777,23.97,100904.68,40.09,35.05,-0.30,-0.96,-9.72,0.09,-0.12,-0.09,102,2,2,2,5,-1
2021-05-17 15:35:14.144220,23.97,100900.50,40.11,35.40,-0.28,-0.96,-9.72,0.09,-0.12,-0.09,98,2,2,2,5,-1
2021-05-17 15:35:14.624186,23.97,100901.33,40.09,35.33,-0.32,-0.95,-9.75,0.09,-0.12,-0.09,89,2,2,2,5,-1
2021-05-17 15:35:15.104506,23.97,100902.66,40.11,35.22,-0.33,-0.96,-9.76,0.09,-0.12,-0.09,106,2,2,2,5,-1
2021-05-17 15:35:15.584222,23.97,100900.22,40.12,35.43,-0.32,-0.95,-9.72,0.09,-0.12,-0.09,145,2,2,2,5,-1
2021-05-17 15:35:16.063737,23.98,100903.25,40.07,35.17,-0.29,-0.96,-9.71,0.09,-0.12,-0.09,93,2,2,2,5,-1
2021-05-17 15:35:16.544347,23.97,100900.65,40.04,35.39,-0.29,-0.96,-9.73,0.09,-0.12,-0.09,129,2,2,2,5,-1
2021-05-17 15:35:17.023496,23.97,100897.38,40.08,35.66,-0.33,-0.97,-9.70,0.09,-0.12,-0.09,133,2,2,2,5,-1
2021-05-17 15:35:17.504397,23.98,100903.09,40.07,35.19,-0.31,-0.97,-9.76,0.09,-0.12,-0.09,96,2,2,2,5,-1
2021-05-17 15:35:17.984263,23.98,100899.46,40.05,35.49,-0.33,-0.96,-9.71,0.09,-0.12,-0.09,147,2,2,2,5,-1
2021-05-17 15:35:18.464290,23.98,100903.65,40.08,35.14,-0.30,-0.97,-9.77,0.09,-0.12,-0.09,121,2,2,2,5,-1
2021-05-17 15:35:18.944311,23.98,100903.31,40.03,35.17,-0.31,-0.95,-9.72,0.09,-0.12,-0.09,136,2,2,2,5,-1
2021-05-17 15:35:19.424313,23.98,100900.75,40.03,35.38,-0.31,-0.96,-9.73,0.09,-0.12,-0.09,101,2,2,2,5,-1
2021-05-17 15:35:19.904318,23.98,100900.41,40.06,35.41,-0.31,-0.94,-9.73,0.09,-0.12,-0.09,206,2,2,2,5,-1
2021-05-17 15:35:20.385288,23.98,100897.62,39.99,35.64,-0.34,-0.94,-9.69,0.09,-0.12,-0.09,116,2,2,2,5,-1
2021-05-17 15:35:20.864671,23.98,100897.79,40.01,35.63,-0.32,-0.95,-9.72,0.09,-0.12,-0.09,96,2,2,2,5,-1
2021-05-17 15:35:21.344253,23.98,100900.32,39.97,35.42,-0.33,-0.96,-9.76,0.09,-0.12,-0.09,127,2,2,2,5,-1
2021-05-17 15:35:21.824007,23.98,100898.05,39.96,35.61,-0.31,-0.95,-9.71,0.09,-0.12,-0.09,97,2,2,2,5,-1
2021-05-17 15:35:22.304356,23.98,100902.16,40.01,35.26,-0.30,-0.97,-9.72,0.09,-0.12,-0.09,219,2,2,2,5,-1
2021-05-17 15:35:22.784372,23.98,100898.31,39.96,35.59,-0.32,-0.96,-9.71,0.09,-0.12,-0.09,190,2,2,2,5,-1
2021-05-17 15:35:23.264362,23.99,100897.22,39.99,35.68,-0.33,-0.97,-9.70,0.09,-0.12,-0.09,157,2,2,2,5,-1
2021-05-17 15:35:23.744414,23.99,100900.73,39.97,35.38,-0.30,-0.94,-9.73,0.09,-0.12,-0.09,187,2,2,2,5,-1
2021-05-17 15:35:24.224441,23.99,100898.47,39.99,35.57,-0.33,-0.94,-9.71,0.09,-0.12,-0.09,128,2,2,2,5,-1
2021-05-17 15:35:24.704413,23.99,100901.23,39.97,35.34,-0.29,-0.95,-9.72,0.09,-0.12,-0.09,138,1,2,2,4,-1
2021-05-17 15:35:25.184448,23.99,100898.89,39.96,35.54,-0.26,-0.94,-9.75,0.09,-0.12,-0.09,105,1,1,1,3,-1
2021-05-17 15:35:25.665082,24.00,100899.14,39.95,35.52,-0.30,-0.98,-9.71,0.09,-0.12,-0.09,98,1,1,1,3,-1
2021-05-17 15:35:26.144418,23.99,100900.62,39.96,35.39,-0.31,-0.94,-9.75,0.09,-0.12,-0.09,86,1,2,1,4,-1
2021-05-17 15:35:26.624853,24.00,100901.56,39.96,35.31,-0.33,-0.96,-9.75,0.09,-0.12,-0.09,124,1,2,1,4,-1
2021-05-17 15:35:27.104461,24.00,100901.72,39.95,35.30,-0.32,-0.95,-9.72,0.09,-0.12,-0.09,103,1,2,1,4,-1
2021-05-17 15:35:27.584447,24.00,100900.38,39.92,35.41,-0.32,-0.95,-9.74,0.09,-0.12,-0.09,108,1,2,1,4,-1
2021-05-17 15:35:28.064523,24.00,100901.31,39.96,35.33,-0.30,-0.97,-9.72,0.09,-0.12,-0.09,235,1,2,1,4,-1
2021-05-17 15:35:28.544551,24.00,100899.31,39.94,35.50,-0.30,-0.97,-9.71,0.09,-0.12,-0.09,174,1,2,1,4,-1
2021-05-17 15:35:29.024507,24.00,100896.69,39.97,35.72,-0.29,-0.94,-9.73,0.09,-0.12,-0.09,115,1,2,1,4,-1
2021-05-17 15:35:29.504471,24.00,100896.80,39.94,35.71,-0.30,-0.96,-9.68,0.09,-0.12,-0.09,101,1,2,1,4,-1
2021-05-17 15:35:29.984363,24.00,100895.95,39.92,35.78,-0.31,-0.95,-9.73,0.09,-0.12,-0.10,111,2,2,2,4,-1
2021-05-17 15:35:30.463584,24.00,100897.47,39.97,35.66,-0.27,-0.93,-9.72,0.09,-0.12,-0.09,119,1,2,2,4,-1
